138,,"Richarlison Everton, 22, AM(CLR),FW",2,153,-,-,-,-,3,56.8,2.5,-,6.74
139,,"Daniel James Manchester United, 21, AM(L),FW",1(1),105,1,-,1,-,1,83.3,-,-,6.73
140,,"David Luiz Arsenal, 32, D(C),DMC",1,90,-,-,1,-,-,78.7,2,-,6.73
141,,"Jonny Wolverhampton Wanderers, 25, D(CLR),M(L)",2,180,-,-,1,-,0.5,78.2,0.5,-,6.73
142,,"Christian Fuchs Leicester, 33, D(CL),M(L)",1,90,-,-,-,-,1,73.9,-,-,6.72
143,,"Moussa Sissoko Tottenham, 30, M(CR)",2,180,-,1,-,-,2,87.0,0.5,-,6.71
144,,"Jamaal Lascelles Newcastle United, 25, D(C)",2,180,-,-,-,-,0.5,85.9,4.5,-,6.71
145,,"André Gomes Everton, 26, M(CLR)",2,136,-,-,1,-,-,84.8,-,-,6.71
146,,"Martin Kelly Crystal Palace, 29, D(CLR)",2,180,-,-,-,-,-,77.5,2.5,-,6.71
147,,"Jefferson Lerma Bournemouth, 24, D(R),DMC",2,180,-,-,-,-,1,72.4,1.5,-,6.7
148,,"César Azpilicueta Chelsea, 29, D(CLR),M(R)",2,180,-,-,-,-,-,74.7,3.5,-,6.7
149,,"Jesse Lingard Manchester United, 26, AM(CLR)",2,167,-,-,1,-,-,87.7,0.5,-,6.7
150,,"Andreas Pereira Manchester United, 23, AM(CLR)",1(1),75,-,1,-,-,-,73.7,0.5,-,6.69
151,,"James Ward-Prowse Southampton, 24, M(CR)",2,180,-,-,-,-,1,59.5,2.5,-,6.68
152,,"Patrick van Aanholt Crystal Palace, 28, D(L),M(L)",2,180,-,-,-,-,-,78.4,1,-,6.68
153,,"Matt Ritchie Newcastle United, 29, D(L),M(CLR)",2,180,-,-,-,-,1.5,74.7,0.5,-,6.68
154,,"Robert Snodgrass West Ham, 31, AM(CLR)",1(1),124,-,-,-,-,0.5,71.1,2,-,6.68
155,,"Ben Godfrey Norwich, 21, D(C)",2,180,-,-,-,-,0.5,88.7,1,-,6.67
156,,"Dominic Calvert-Lewin Everton, 22, AM(L),FW",2,141,-,-,-,-,0.5,57.7,5.5,-,6.67
157,,"Ederson Manchester City, 26, GK",2,180,-,-,-,-,-,91.9,-,-,6.67
158,,"Calum Chambers Arsenal, 24, D(CR),DMC",1,90,-,-,-,-,-,88.3,-,-,6.66
159,,"George Baldock Sheffield United, 26, D(R),M(R)",2,180,-,-,1,-,0.5,78.3,1.5,-,6.66
160,,"Ben Chilwell Leicester, 22, D(L),M(L)",1,90,-,-,-,-,1,83.5,4,-,6.65
161,,"Jordan Ayew Crystal Palace, 27, AM(CLR),FW",1,65,-,-,-,-,1,70.6,1,-,6.65
162,,"Jordan Henderson Liverpool, 29, M(CLR)",1(1),91,-,-,-,-,1,81.0,-,-,6.64
163,,"José Holebas Watford, 35, D(L),M(L)",2,180,-,-,1,-,-,87.6,1.5,-,6.64
164,,"Georginio Wijnaldum Liverpool, 28, M(CL)",2,180,-,-,-,-,-,88.6,1,-,6.64
165,,"Neal Maupay Brighton, 23, FW",0(2),49,1,-,-,-,1.5,92.9,0.5,-,6.64
166,,"Christian Eriksen Tottenham, 27, M(CLR)",1(1),116,-,-,-,-,1.5,77.4,-,-,6.63
167,,"David McGoldrick Sheffield United, 31, AM(CLR),FW",2,152,-,-,-,-,2,78.0,2.5,-,6.62
168,,"Troy Deeney Watford, 31, FW",2,180,-,-,-,-,1.5,41.7,8,-,6.62
169,,"Conor Coady Wolverhampton Wanderers, 26, D(CR),DMC",2,180,-,-,-,-,-,63.0,1,-,6.62
170,,"Charlie Daniels Bournemouth, 32, D(L),M(L)",1,90,-,-,-,-,-,82.1,1,-,6.61
171,,"Ryan Bennett Wolverhampton Wanderers, 29, D(C)",2,180,-,-,1,-,0.5,74.5,2,-,6.6
172,,"Danny Ings Southampton, 27, AM(C),FW",1(1),92,1,-,-,-,2.0,71.4,0.5,-,6.59
173,,"Kiko Femenía Watford, 28, D(R),M(R)",2,180,-,-,-,-,0.5,79.2,-,-,6.59
174,,"Leander Dendoncker Wolverhampton Wanderers, 24, DMC",2,180,-,-,-,-,1.5,75.5,3.5,-,6.59
175,,"Jannik Vestergaard Southampton, 27, D(C)",2,180,-,-,-,-,0.5,63.5,3.5,-,6.57
176,,"Reiss Nelson Arsenal, 19, M(R)",2,117,-,-,1,-,1.0,87.0,-,-,6.57
177,,"Sébastien Haller West Ham, 25, FW",1,90,-,-,-,-,1.0,88.6,2,-,6.57
178,,"Gylfi Sigurdsson Everton, 29, M(CLR),FW",2,169,-,-,-,-,2.5,73.0,-,-,6.57
179,,"Marco Stiepermann Norwich, 28, D(L),M(CLR)",2,142,-,-,-,-,2.5,76.3,1,-,6.54
180,,"Max Aarons Norwich, 19, D(R)",2,180,-,-,1,-,0.5,82.7,0.5,-,6.54
181,,"Alisson Liverpool, 26, GK",1,39,-,-,-,-,-,81.8,-,-,6.53
182,,"Wesley Aston Villa, 22, FW",2,164,-,-,-,-,1.5,64.0,2,-,6.52
183,,"Joelinton Newcastle United, 23, FW",2,157,-,-,1,-,2.5,80.0,5,-,6.51
184,,"Ayoze Pérez Leicester, 26, AM(CLR),FW",2,156,-,-,-,-,1.5,75.0,1,-,6.5
185,,"Callum Wilson Bournemouth, 27, FW",2,180,-,-,-,-,1,62.1,1.5,-,6.49
